city,title,competition,city_restaurant_no,competition_rate,chain
Scottsdale,Original ChopShop,55.0,240,0.22916666666666666,1
Scottsdale,Flower Child,38.0,240,0.15833333333333333,1
Scottsdale,Chauncey Social,35.0,240,0.14583333333333334,0
Scottsdale,"Snooze, an A.M. Eatery",38.0,240,0.15833333333333333,1
Scottsdale,Rusconi’s American Kitchen,48.0,240,0.2,0
Scottsdale,Collins Bros Chophouse,36.0,240,0.15,0
Scottsdale,OBON Sushi Bar Ramen,12.0,240,0.05,1
Scottsdale,Jalapeno Inferno - Scottsdale,31.0,240,0.12916666666666668,0
Scottsdale,Thirsty Lion Gastropub,16.0,240,0.06666666666666667,1
Scottsdale,Paradise Valley Burger,16.0,240,0.06666666666666667,0
Scottsdale,Bourbon Steak,15.0,240,0.0625,0
Scottsdale,Kay Sushi,27.0,240,0.1125,0
Scottsdale,Green Corner Restaurant,6.0,240,0.025,1
Scottsdale,Uncle Bear’s Grill & Tap - Scottsdale,12.0,240,0.05,0
Scottsdale,Barrio Queen,26.0,240,0.10833333333333334,1
Scottsdale,Volanti,33.0,240,0.1375,0
Scottsdale,Agave Southwest Bar and Grill,32.0,240,0.13333333333333333,0
Scottsdale,Koi Poke,4.0,240,0.016666666666666666,0
Scottsdale,3 Regions Vietnamese Kitchen,3.0,240,0.0125,0
Scottsdale,The Cafe,1.0,240,0.004166666666666667,0
Scottsdale,Mason’s Famous Lobster Rolls - Scottsdale,18.0,240,0.075,0
Scottsdale,18 Degrees,25.0,240,0.10416666666666667,0
Scottsdale,The Mission Kierland,3.0,240,0.0125,0
Scottsdale,Saguaro Blossom,6.0,240,0.025,0
Scottsdale,Rockefeller,29.0,240,0.12083333333333333,0
Scottsdale,Hiro Sushi,5.0,240,0.020833333333333332,0
Scottsdale,Cafe Pranzo,13.0,240,0.05416666666666667,0
Scottsdale,NakedQ BBQ,16.0,240,0.06666666666666667,0
Scottsdale,Ironwood American Kitchen,24.0,240,0.1,0
Scottsdale,SugarJam,21.0,240,0.0875,0
Scottsdale,Champions Patio Bar,10.0,240,0.041666666666666664,0
Scottsdale,JJ’s Delicattesen,2.0,240,0.008333333333333333,0
Scottsdale,Yen Sushi revolving bar,9.0,240,0.0375,0
Scottsdale,Mesquite Fresh Street Mex,18.0,240,0.075,0
Scottsdale,Tocaya - Kierland Commons,20.0,240,0.08333333333333333,0
Scottsdale,Ling & Louie’s Asian Bar and Grill,7.0,240,0.029166666666666667,0
Scottsdale,Fleming’s Prime Steakhouse & Wine Bar,17.0,240,0.07083333333333333,1
Scottsdale,Cielo,37.0,240,0.15416666666666667,0
Scottsdale,Persian Room,2.0,240,0.008333333333333333,0
