city,title,rank,point,tag,link,review
Phoenix,Que Sazon Restaurant and Ceviche Bar,152,5.0,"['Tapas/Small Plates', 'Empanadas', 'Colombian']",/biz/que-sazon-restaurant-and-ceviche-bar-phoenix,(53 reviews)
Phoenix,Little Pickle - Temp. CLOSED,153,4.2,"['Pop-Up Restaurants', 'Delis', 'Bagels']",/biz/little-pickle-phoenix,(33 reviews)
Phoenix,Torchy’s Tacos,154,3.9,"['Tacos', 'Tex-Mex']",/biz/torchys-tacos-phoenix-2,(211 reviews)
Phoenix,Taco Guild,155,4.0,"['Bars', 'Tacos', 'Salad']",/biz/taco-guild-phoenix-2,(2.8k reviews)
Phoenix,Lou Malnati’s Pizzeria,156,4.0,"['Pizza', 'Italian']",/biz/lou-malnatis-pizzeria-phoenix-3,(1.4k reviews)
Phoenix,Hot Chicken Alley,157,4.9,"['Chicken Shop', 'Sandwiches']",/biz/hot-chicken-alley-phoenix-2,(94 reviews)
Phoenix,Hash Kitchen Arcadia,158,4.3,"['Breakfast & Brunch', 'Bars', 'American (New)']",/biz/hash-kitchen-arcadia-phoenix,(1.4k reviews)
Phoenix,Durant’s,159,4.2,"['Steakhouses', 'Wine Bars', 'Diners']",/biz/durants-phoenix,(1.2k reviews)
Phoenix,Chula Seafood,160,4.1,"['Seafood', 'Seafood Markets', 'Poke']",/biz/chula-seafood-phoenix,(367 reviews)
Phoenix,Huss Brewing Company - Uptown Taproom,161,4.4,"['Breweries', 'Gastropubs']",/biz/huss-brewing-company-uptown-taproom-phoenix,(228 reviews)
Phoenix,Geordie’s at Wrigley Mansion,162,3.9,"['American (New)', 'Wine Bars', 'Venues & Event Spaces']",/biz/geordies-at-wrigley-mansion-phoenix,(106 reviews)
Phoenix,Monroe’s Hot Chicken,163,3.9,['Chicken Shop'],/biz/monroes-hot-chicken-phoenix,(719 reviews)
Phoenix,Disco Dragon,164,4.2,"['Pan Asian', 'Beer Bar', 'Cocktail Bars']",/biz/disco-dragon-phoenix,(57 reviews)
Phoenix,Harvey’s Wineburger,165,4.0,"['Burgers', 'Chicken Wings', 'Sports Bars']",/biz/harveys-wineburger-phoenix,(496 reviews)
